tabela;role;origem_snapshot_dml;destino_select_probe;destino_insert_probe;destino_update_probe;destino_delete_probe;grant_ausente_confirmado;observacao
activity_logs;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
activity_logs;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
app_settings;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
app_settings;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
checklist_answers;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
checklist_answers;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
checklist_questions;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
checklist_questions;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
classroom_call_responses;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
classroom_call_responses;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
classroom_call_room_issues;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
classroom_call_room_issues;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
classroom_call_rooms;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
classroom_call_rooms;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
classroom_calls;anon;nenhum;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
classroom_calls;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
equipment;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
equipment;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
equipment_loans;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
equipment_loans;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
equipment_reservations;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
equipment_reservations;authenticated;DELETE,INSERT,UPDATE;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;não reexecutado: sem JWT comum disponível;"NÃO INDICADO (auditoria anterior); requer JWT para repetição independente";"Snapshot mostra I/U/D na origem para todas as tabelas; sessão externa comum não está disponível nesta execução."
external_equipment_requests;anon;DELETE,INSERT,UPDATE;HTTP 200;HTTP 400 22P02;HTTP 204;HTTP 204;NÃO;"Sondagem sem mutação: UPDATE/DELETE em UUID inexistente; INSERT com UUID inválido."
